sentence,label
"At that moment the telephone rang and Aunt Petunia went to answer it while Harry and Uncle Vernon watched Dudley unwrap the racing bike, a video camera, a remote control airplane, sixteen new computer games, and a VCR",1
He was ripping the paper off a gold wristwatch when Aunt Petunia came back from the telephone looking both angry and worried,1
"Dudley¡¦s mouth fell open in horror, but Harry¡¦s heart gave a leap",1
"Every year on Dudley¡¦s birthday, his parents took him and a friend out for the day, to adventure parks, hamburger restaurants, or the movies. Every year, Harry was left behind with Mrs. Figg, a mad old lady who lived two streets away",1
Harry hated it there,1
The whole house smelled of cabbage and Mrs. Figg made him look at photographs of all the cats she¡¦d ever owned,1
"Half an hour later, Harry, who couldn¡¦t believe his luck, was sitting in the back of the Dursleys¡¦ car with Piers and Dudley, on the way to the zoo for the first time in his life",1
"His aunt and uncle hadn¡¦t been able to think of anything else to do with him, but before they¡¦d left, Uncle Vernon had taken Harry aside",1
"But today, nothing was going to go wrong",1
"It was even worth being with Dudley and Piers to be spending the day somewhere that wasn¡¦t school, his cupboard, or Mrs. Figg¡¦s cabbage-smelling living room",1
But he wished he hadn¡¦t said anything,1
"If there was one thing the Dursleys hated even more than his asking questions, it was his talking about anything acting in a way it shouldn¡¦t, no matter if it was in a dream or even a cartoon ¡X they seemed to think he might get dangerous ideas. ked remarkably like Dudley, except that it wasn¡¦t blond",1
Harry had the best morning he¡¦d had in a long time,1
"He was careful to walk a little way apart from the Dursleys so that Dudley and Piers, who were starting to get bored with the animals by lunchtime, wouldn¡¦t fall back on their favorite hobby of hitting him",1
"They ate in the zoo restaurant, and when Dudley had a tantrum because his knickerbocker glory didn¡¦t have enough ice cream on top, Uncle Vernon bought him another one and Harry was allowed to finish the first",1
"Harry felt, afterward, that he should have known it was all too good to last",1
After lunch they went to the reptile house,1
"It was cool and dark in there, with lit windows all along the walls. Behind the glass, all sorts of lizards and snakes were crawling and slithering over bits of wood and stone",1
"Dudley and Piers wanted to see huge, poisonous cobras and thick, man-crushing pythons. Dudley quickly found the largest snake in the place",1
It could have wrapped its body twice around Uncle Vernon¡¦s car and crushed it into a trash can ¡X but at the moment it didn¡¦t look in the mood,1
"In fact, it was fast asleep",1
"It was the last thing they wanted to do, but what choice did they have",1
"At that moment the telephone rang and Aunt Petunia went to answer it while Harry and Uncle Vernon watched Dudley unwrap the racing bike, a video camera, a remote control airplane, sixteen new computer games, and a VCR",1
He was ripping the paper off a gold wristwatch when Aunt Petunia came back from the telephone looking both angry and worried,1
"Dudley¡¦s mouth fell open in horror, but Harry¡¦s heart gave a leap",1
"Every year on Dudley¡¦s birthday, his parents took him and a friend out for the day, to adventure parks, hamburger restaurants, or the movies. Every year, Harry was left behind with Mrs. Figg, a mad old lady who lived two streets away",1
Harry hated it there,1
The whole house smelled of cabbage and Mrs. Figg made him look at photographs of all the cats she¡¦d ever owned,1
"Half an hour later, Harry, who couldn¡¦t believe his luck, was sitting in the back of the Dursleys¡¦ car with Piers and Dudley, on the way to the zoo for the first time in his life",1
"His aunt and uncle hadn¡¦t been able to think of anything else to do with him, but before they¡¦d left, Uncle Vernon had taken Harry aside",1
"But today, nothing was going to go wrong",1
"It was even worth being with Dudley and Piers to be spending the day somewhere that wasn¡¦t school, his cupboard, or Mrs. Figg¡¦s cabbage-smelling living room",1
But he wished he hadn¡¦t said anything,1
"If there was one thing the Dursleys hated even more than his asking questions, it was his talking about anything acting in a way it shouldn¡¦t, no matter if it was in a dream or even a cartoon ¡X they seemed to think he might get dangerous ideas. ked remarkably like Dudley, except that it wasn¡¦t blond",1
Harry had the best morning he¡¦d had in a long time,1
"He was careful to walk a little way apart from the Dursleys so that Dudley and Piers, who were starting to get bored with the animals by lunchtime, wouldn¡¦t fall back on their favorite hobby of hitting him",1
"They ate in the zoo restaurant, and when Dudley had a tantrum because his knickerbocker glory didn¡¦t have enough ice cream on top, Uncle Vernon bought him another one and Harry was allowed to finish the first",1
"Harry felt, afterward, that he should have known it was all too good to last",1
After lunch they went to the reptile house,1
"It was cool and dark in there, with lit windows all along the walls. Behind the glass, all sorts of lizards and snakes were crawling and slithering over bits of wood and stone",1
"Dudley and Piers wanted to see huge, poisonous cobras and thick, man-crushing pythons. Dudley quickly found the largest snake in the place",1
It could have wrapped its body twice around Uncle Vernon¡¦s car and crushed it into a trash can ¡X but at the moment it didn¡¦t look in the mood,1
"In fact, it was fast asleep",1
"It was the last thing they wanted to do, but what choice did they have",1
"Wheeling around, they sprinted back to the door and turned the key, fumbling in their panic",1
Harry pulled the door open and they ran inside,1
"Hermione Granger was shrinking against the wall opposite, looking as if she was about to faint",1
"The troll was advancing on her, knocking the sinks off the walls as it went",1
The Quidditch season had begun,1
"On Saturday, Harry would be playing in his first match after weeks of training: Gryffindor versus Slytherin",1
"If Gryffindor won, they would move up into second place in the house championship",1
"Hardly anyone had seen Harry play because Wood had decided that, as their secret weapon, Harry should be kept, well, secret",1
